zip_code,median_income,store_count
00601,19454.0,0
00602,21420.0,0
00603,20933.0,0
00606,20992.0,0
00610,24496.0,0
00611,20360.0,0
00612,24488.0,0
00616,21846.0,0
00617,25013.0,0
00622,26585.0,0
00623,26388.0,0
00624,22979.0,0
00627,27411.0,0
00631,19278.0,0
00636,26049.722222222223,0
00637,21987.0,0
00638,22610.0,0
00641,21102.0,0
00646,36265.0,0
00647,20023.0,0
00650,21447.0,0
00652,35383.0,0
00653,16736.0,0
00656,24065.0,0
00659,27513.0,0
00660,26851.0,0
00662,23299.0,0
00664,21767.0,0
00667,19534.0,0
00669,18778.0,0
00670,16367.0,0
00674,22537.0,0
00676,23272.0,0
00677,24266.0,0
00678,23874.0,0
00680,17896.0,0
00682,18793.0,0
00683,18543.0,0
00685,20310.0,0
00687,25003.0,0
00688,18023.0,0
00690,25755.0,0
00692,25568.0,0
00693,24596.0,0
00694,16094.0,0
00698,24310.0,0
00703,23292.0,0
00704,20899.0,0
00705,21712.0,0
00707,17750.0,0
00714,21186.0,0
00715,22670.0,0
00716,20652.0,0
00717,13602.0,0
00718,23487.0,0
00719,22129.0,0
00720,20151.0,0
00723,24574.0,0
00725,29575.0,0
00727,34094.0,0
00728,23031.0,0
00729,31239.0,0
00730,18089.0,0
00731,18736.0,0
00735,25243.0,0
00736,29971.0,0
00738,25531.0,0
00739,29463.0,0
00740,26027.0,0
00741,26585.0,0
00745,29268.0,0
00751,21952.0,0
00754,22964.0,0
00757,25938.0,0
00765,19803.0,0
00766,26234.0,0
00767,23054.0,0
00769,21829.0,0
00771,24891.0,0
00772,18945.0,0
00773,24225.0,0
00775,29630.0,0
00777,29928.0,0
00778,42178.0,0
00780,27967.0,0
00782,16896.0,0
00783,23914.0,0
00784,20558.0,0
00786,26049.722222222223,0
00791,27034.0,0
00794,23899.0,0
00795,24602.0,0
00901,27557.0,0
00906,26049.722222222223,0
00907,41615.0,0
00909,23101.0,0
00911,42382.0,0
00912,31636.0,0
00913,7049.0,0
00915,16590.0,0
00917,19357.0,0
00918,39287.0,0
00920,30259.0,0
00921,23598.0,0
00923,20349.0,0
00924,25724.0,0
00925,17404.0,0
00926,40606.0,0
00927,38728.0,0
00934,26049.722222222223,0
00949,34563.0,0
00950,26049.722222222223,0
00951,22669.0,0
00952,22288.0,0
00953,36099.0,0
00956,29280.0,0
00957,29913.0,0
00959,31572.0,0
00960,26049.722222222223,0
00961,39393.0,0
00962,21288.0,0
00965,19136.0,0
00966,60203.0,0
00968,58869.0,0
00969,61101.0,0
00971,29526.0,0
00976,39901.0,0
00979,40049.0,0
00982,28906.0,0
00983,35638.0,0
00985,33863.0,0
00987,43159.0,0
01001,75342.0,1
01002,70818.0,0
01003,108243.80276816609,0
01005,111148.0,0
01007,108125.0,1
01008,97554.0,2
01009,72841.0,0
01010,111250.0,0
01011,89299.0,0
01012,83333.0,0
01013,59759.0,1
01020,66009.0,3
01022,51373.0,0
01026,92250.0,0
01027,74146.0,1
01028,106424.0,0
01029,107679.0,0
01030,93815.0,0
01031,60517.0,0
01032,97500.0,0
01033,119297.0,0
01034,91016.0,0
01035,119259.0,1
01036,104536.0,0
01037,74722.0,0
01038,106635.0,0
01039,116429.0,0
01040,53605.0,3
01050,95882.0,0
01053,92582.0,0
01054,104688.0,0
01056,84838.0,2
01057,98508.0,0
01060,76848.0,1
01062,87588.0,0
01063,91344.0,0
01066,108243.80276816609,0
01068,102000.0,0
01069,80190.0,1
01070,60536.0,0
01071,111042.0,0
01072,111667.0,0
01073,123125.0,0
01074,79583.0,0
01075,93910.0,0
01077,120462.0,1
01079,70588.0,0
01080,89063.0,0
01081,86979.0,0
01082,69018.0,1
01083,64032.0,0
01084,93125.0,0
01085,88728.0,2
01088,85368.0,0
01089,69371.0,2
01092,68614.0,0
01093,110909.0,0
01094,108243.80276816609,0
01095,122330.0,0
01096,104375.0,0
01097,108243.80276816609,0
01098,96250.0,0
01103,21355.0,1
01104,50154.0,2
01105,24036.0,2
01106,147935.0,0
01107,35632.0,1
01108,50661.0,0
01109,48415.0,1
01118,80250.0,1
01119,57857.0,1
01128,100313.0,0
01129,97162.0,0
01144,108243.80276816609,0
01151,55324.0,0
01201,71093.0,2
01220,58929.0,1
01222,71042.0,0
01223,86818.0,0
01224,76222.0,0
01225,69803.0,0
01226,79438.0,0
01229,108243.80276816609,0
01230,86694.0,1
01235,79327.0,0
01236,111250.0,0
01237,90898.0,0
01238,84591.0,3
01240,107826.0,0
01242,108243.80276816609,0
01243,91250.0,0
01244,75833.0,0
01245,136875.0,0
01247,52330.0,1
01253,116806.0,0
01254,125893.0,0
01255,91111.0,0
01256,61328.0,0
01257,102788.0,0
01258,142500.0,0
01259,158125.0,0
01260,108243.80276816609,0
01262,145750.0,0
01264,93750.0,0
01266,100417.0,0
01267,106375.0,0
01270,116375.0,0
01301,56176.0,2
01330,83493.0,0
01331,72181.0,1
01337,85045.0,0
01338,50521.0,0
01339,68365.0,0
01340,78804.0,0
01341,97417.0,0
01342,109205.0,0
01343,69375.0,0
01344,77656.0,0
01346,113650.0,0
01347,72467.0,0
01349,75033.0,0
01350,108243.80276816609,0
01351,98229.0,0
01354,90208.0,0
01355,82713.0,0
01360,103375.0,0
01364,55532.0,0
01366,110750.0,0
01367,72813.0,0
01368,102500.0,0
01370,81008.0,0
01373,106413.0,0
01375,68083.0,0
01376,55652.0,0
01378,93333.0,0
01379,59583.0,0
01380,73472.0,0
01420,72780.0,2
01430,118683.0,0
01431,115598.0,0
01432,101966.0,1
01434,162143.0,0
01436,77721.0,0
01438,108243.80276816609,0
01440,67440.0,1
01450,193292.0,0
01451,214792.0,0
01452,123500.0,0
01453,84296.0,3
01460,149722.0,0
01462,112992.0,0
01463,123911.0,0
01464,122365.0,0
01468,113427.0,0
01469,103801.0,1
01473,106331.0,0
01474,136371.0,0
01475,76552.0,1
01501,116762.0,1
01503,121336.0,0
01504,94191.0,0
01505,140962.0,0
01506,81250.0,0
01507,117587.0,2
01510,89781.0,1
01515,81042.0,0
01516,153172.0,0
01518,136111.0,0
01519,178263.0,0
01520,148125.0,1
01521,91979.0,0
01522,100625.0,0
01523,134833.0,0
01524,102099.0,0
01525,108243.80276816609,0
01527,118790.0,0
01529,127188.0,0
01531,99500.0,0
01532,153199.0,0
01534,141250.0,0
01535,79285.0,0
01536,115938.0,0
01537,102956.0,0
01540,110579.0,1
01541,158750.0,0
01542,96111.0,0
01543,145707.0,0
01545,139302.0,0
01550,66287.0,1
01560,107031.0,0
01561,108243.80276816609,0
01562,80533.0,1
01564,129063.0,0
01566,137730.0,1
01568,160417.0,0
01569,124222.0,1
01570,72895.0,1
01571,84604.0,0
01581,141944.0,2
01583,106094.0,0
01585,87857.0,0
01588,92486.0,1
01590,147015.0,0
01602,91764.0,0
01603,66049.0,2
01604,73505.0,2
