,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
34,860Z200US43044,ZCTA5 43044,4964,421,4702,418,75,56,18,17,13,18,0,13,52,44,104,63,23,41,81,48,,43044,860Z200US43044,76397
35,860Z200US43045,ZCTA5 43045,1739,309,1388,314,51,73,16,26,2,3,0,13,215,201,67,41,5,6,62,42,,43045,860Z200US43045,99181
36,860Z200US43046,ZCTA5 43046,2946,404,2682,444,91,120,1,2,3,5,0,13,46,42,123,57,60,38,63,44,,43046,860Z200US43046,86864
37,860Z200US43047,ZCTA5 43047,18,28,18,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43047,860Z200US43047,-
38,860Z200US43050,ZCTA5 43050,31074,1221,28882,1242,344,148,7,14,217,164,1,3,468,257,1155,421,593,340,562,161,,43050,860Z200US43050,64108
39,860Z200US43054,ZCTA5 43054,27594,1582,19677,1268,2419,884,0,24,1965,395,0,24,505,364,3028,770,1060,534,1968,582,,43054,860Z200US43054,148100
40,860Z200US43055,ZCTA5 43055,63281,1100,56311,1356,1629,475,39,37,586,227,0,30,614,286,4102,676,1552,546,2550,473,,43055,860Z200US43055,63974
41,860Z200US43056,ZCTA5 43056,17637,776,16737,819,99,62,0,20,114,84,15,19,19,23,653,202,192,138,461,153,,43056,860Z200US43056,80014
42,860Z200US43060,ZCTA5 43060,2359,251,2252,257,18,23,8,11,0,13,0,13,0,13,81,50,45,41,36,23,,43060,860Z200US43060,62014
43,860Z200US43061,ZCTA5 43061,4921,684,4578,734,13,17,0,13,2,4,0,13,21,31,307,175,138,148,169,104,,43061,860Z200US43061,157568
44,860Z200US43062,ZCTA5 43062,32037,1063,24383,1355,1746,493,0,27,3556,588,37,37,323,266,1992,451,1087,401,905,279,,43062,860Z200US43062,105968
45,860Z200US43064,ZCTA5 43064,18143,420,14715,676,412,255,18,23,1955,319,0,20,89,69,954,332,548,228,406,254,,43064,860Z200US43064,139591
46,860Z200US43065,ZCTA5 43065,46679,1302,36147,1351,1335,360,26,26,5937,864,0,27,551,363,2683,466,1237,360,1446,372,,43065,860Z200US43065,154481
47,860Z200US43066,ZCTA5 43066,1368,403,1313,397,0,13,0,13,0,13,0,13,0,13,55,50,0,13,55,50,,43066,860Z200US43066,129012
48,860Z200US43067,ZCTA5 43067,1884,476,1746,454,30,50,0,13,0,13,0,13,17,20,91,83,55,60,36,55,,43067,860Z200US43067,95903
49,860Z200US43068,ZCTA5 43068,60148,1998,27867,1662,18650,1797,4,6,5610,1218,0,30,2864,1024,5153,916,1212,497,3941,764,,43068,860Z200US43068,70477
50,860Z200US43070,ZCTA5 43070,170,204,170,204,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43070,860Z200US43070,-
51,860Z200US43071,ZCTA5 43071,2371,786,2265,769,77,123,0,13,0,13,0,13,0,13,29,27,1,3,28,27,,43071,860Z200US43071,78824
52,860Z200US43072,ZCTA5 43072,5253,390,4786,411,24,26,56,57,33,46,0,18,59,71,295,149,136,90,159,117,,43072,860Z200US43072,76375
53,860Z200US43074,ZCTA5 43074,16873,588,15686,671,99,83,0,20,414,171,0,20,65,59,609,270,280,178,329,218,,43074,860Z200US43074,119296
54,860Z200US43076,ZCTA5 43076,9456,878,8826,864,44,51,2,5,15,22,0,18,154,131,415,160,255,132,160,73,,43076,860Z200US43076,91085
55,860Z200US43077,ZCTA5 43077,269,173,255,172,4,9,0,13,0,13,0,13,5,9,5,6,0,13,5,6,,43077,860Z200US43077,104545
56,860Z200US43078,ZCTA5 43078,19695,502,17606,529,524,184,0,20,135,49,0,20,268,132,1162,316,386,191,776,220,,43078,860Z200US43078,73816
57,860Z200US43080,ZCTA5 43080,5321,696,4412,628,403,394,2,3,0,18,0,18,370,475,134,91,61,68,73,59,,43080,860Z200US43080,87301
58,860Z200US43081,ZCTA5 43081,65020,2398,46379,2411,9831,1459,61,43,3034,721,0,30,967,406,4748,1080,1825,669,2923,896,,43081,860Z200US43081,92422
59,860Z200US43082,ZCTA5 43082,34563,780,29640,1109,1773,473,17,23,1316,332,8,13,231,245,1578,451,658,295,920,337,,43082,860Z200US43082,147972
60,860Z200US43084,ZCTA5 43084,991,229,838,229,25,36,0,13,0,13,0,13,65,54,63,52,35,37,28,24,,43084,860Z200US43084,78008
61,860Z200US43085,ZCTA5 43085,26601,1266,19112,908,2529,782,0,24,1288,482,8,14,812,452,2852,823,1900,790,952,362,,43085,860Z200US43085,112517
62,860Z200US43101,ZCTA5 43101,316,127,297,123,0,13,0,13,6,10,0,13,1,3,12,15,0,13,12,15,,43101,860Z200US43101,39107
63,860Z200US43102,ZCTA5 43102,3711,534,3524,527,9,11,0,13,80,94,0,13,11,17,87,76,0,13,87,76,,43102,860Z200US43102,90781
64,860Z200US43103,ZCTA5 43103,13130,781,12376,767,56,54,0,20,5,8,0,20,244,220,449,163,133,97,316,128,,43103,860Z200US43103,83291
65,860Z200US43105,ZCTA5 43105,8982,495,8496,535,23,32,0,18,0,18,0,18,10,16,453,214,66,65,387,205,,43105,860Z200US43105,98583
66,860Z200US43106,ZCTA5 43106,1587,382,1353,353,12,20,1,2,11,17,0,13,44,55,166,141,129,138,37,41,,43106,860Z200US43106,82813
67,860Z200US43107,ZCTA5 43107,3791,270,3696,266,3,3,0,13,12,27,0,13,14,23,66,33,6,11,60,34,,43107,860Z200US43107,78482
68,860Z200US43109,ZCTA5 43109,152,106,116,104,30,38,0,13,0,13,0,13,0,13,6,7,6,7,0,13,,43109,860Z200US43109,56940
69,860Z200US43110,ZCTA5 43110,43544,2371,23406,1526,14064,2053,28,33,1769,881,0,27,410,253,3867,1180,935,330,2932,1076,,43110,860Z200US43110,77442
70,860Z200US43111,ZCTA5 43111,249,193,239,194,0,13,0,13,0,13,0,13,0,13,10,19,0,13,10,19,,43111,860Z200US43111,46694
71,860Z200US43112,ZCTA5 43112,4909,806,4830,809,37,47,0,13,0,13,0,13,2,7,40,43,8,11,32,43,,43112,860Z200US43112,91613
72,860Z200US43113,ZCTA5 43113,24480,753,22615,862,430,242,20,30,16,21,0,24,21,21,1378,483,344,180,1034,485,,43113,860Z200US43113,67231
73,860Z200US43115,ZCTA5 43115,1796,786,1773,785,0,13,0,13,0,13,0,13,0,13,23,17,6,10,17,14,,43115,860Z200US43115,94265
74,860Z200US43116,ZCTA5 43116,2684,197,2457,227,64,72,10,14,2,4,0,13,37,56,114,108,46,85,68,72,,43116,860Z200US43116,113229
75,860Z200US43117,ZCTA5 43117,7,13,7,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43117,860Z200US43117,-
76,860Z200US43119,ZCTA5 43119,29660,1923,20509,1677,3285,766,8,9,1915,862,8,16,1100,738,2835,539,1485,409,1350,418,,43119,860Z200US43119,91224
77,860Z200US43123,ZCTA5 43123,67626,1396,57468,1688,3224,684,34,28,1368,499,0,30,1796,651,3736,754,1167,475,2569,536,,43123,860Z200US43123,91008
78,860Z200US43125,ZCTA5 43125,14803,1476,9174,1213,4326,1288,28,32,84,83,0,20,515,337,676,273,353,220,323,109,,43125,860Z200US43125,84043
79,860Z200US43126,ZCTA5 43126,306,160,235,122,0,13,0,13,13,29,0,13,50,79,8,13,8,13,0,13,,43126,860Z200US43126,63333
80,860Z200US43127,ZCTA5 43127,257,173,252,171,0,13,0,13,0,13,0,13,0,13,5,9,0,13,5,9,,43127,860Z200US43127,67500
81,860Z200US43128,ZCTA5 43128,2002,367,1881,362,21,23,0,13,0,13,0,13,42,55,58,37,20,29,38,28,,43128,860Z200US43128,50915
82,860Z200US43130,ZCTA5 43130,62933,894,57985,1122,1497,342,207,121,258,178,66,71,694,267,2226,484,669,232,1557,436,,43130,860Z200US43130,72153
83,860Z200US43135,ZCTA5 43135,3937,591,3771,599,28,32,11,16,0,13,0,13,16,27,111,69,27,48,84,56,,43135,860Z200US43135,72823
