,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
1431,860Z200US63535,ZCTA5 63535,14,14,14,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63535,860Z200US63535,-
1432,860Z200US63536,ZCTA5 63536,837,255,829,255,0,12,0,12,0,12,0,12,0,12,8,16,0,12,8,16,,63536,860Z200US63536,60625
1433,860Z200US63537,ZCTA5 63537,2194,253,2055,250,12,21,0,12,0,12,76,61,6,11,45,47,33,39,12,19,,63537,860Z200US63537,59891
1434,860Z200US63538,ZCTA5 63538,105,32,90,27,3,5,0,12,0,12,0,12,0,12,12,10,0,12,12,10,,63538,860Z200US63538,47188
1435,860Z200US63539,ZCTA5 63539,259,111,256,111,0,12,0,12,0,12,0,12,0,12,3,6,0,12,3,6,,63539,860Z200US63539,35417
1436,860Z200US63540,ZCTA5 63540,418,294,418,294,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63540,860Z200US63540,96250
1437,860Z200US63541,ZCTA5 63541,383,129,383,129,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63541,860Z200US63541,57287
1438,860Z200US63543,ZCTA5 63543,315,130,300,129,0,12,2,4,0,12,0,12,0,12,13,22,12,21,1,3,,63543,860Z200US63543,57292
1439,860Z200US63544,ZCTA5 63544,1159,243,1124,242,2,3,3,4,7,11,0,12,8,9,15,13,2,3,13,13,,63544,860Z200US63544,44167
1440,860Z200US63545,ZCTA5 63545,968,164,815,127,0,12,0,12,0,12,0,12,48,42,105,61,87,58,18,15,,63545,860Z200US63545,40104
1441,860Z200US63546,ZCTA5 63546,1340,238,1294,236,6,9,10,13,0,12,0,12,0,12,30,31,28,31,2,4,,63546,860Z200US63546,72404
1442,860Z200US63547,ZCTA5 63547,377,102,371,99,0,12,0,12,6,12,0,12,0,12,0,12,0,12,0,12,,63547,860Z200US63547,38281
1443,860Z200US63548,ZCTA5 63548,1154,164,1078,162,0,12,0,12,22,29,0,12,0,12,54,40,14,14,40,39,,63548,860Z200US63548,66625
1444,860Z200US63549,ZCTA5 63549,2344,274,2269,271,0,12,0,12,37,29,0,12,0,12,38,24,14,16,24,22,,63549,860Z200US63549,59881
1445,860Z200US63551,ZCTA5 63551,251,133,242,130,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,,63551,860Z200US63551,76389
1446,860Z200US63552,ZCTA5 63552,7554,332,6668,327,227,71,14,18,44,50,0,17,94,89,507,147,185,108,322,105,,63552,860Z200US63552,65210
1447,860Z200US63555,ZCTA5 63555,3258,252,3171,249,6,15,6,10,0,12,20,25,0,12,55,40,19,31,36,29,,63555,860Z200US63555,67426
1448,860Z200US63556,ZCTA5 63556,3196,216,2243,223,155,65,12,22,56,62,0,12,331,122,399,136,371,132,28,24,,63556,860Z200US63556,58851
1449,860Z200US63557,ZCTA5 63557,272,112,259,113,0,12,0,12,0,12,0,12,6,9,7,7,0,12,7,7,,63557,860Z200US63557,60833
1450,860Z200US63558,ZCTA5 63558,602,130,565,126,11,15,6,8,0,12,0,12,0,12,20,20,15,18,5,5,,63558,860Z200US63558,65750
1451,860Z200US63559,ZCTA5 63559,1258,237,1205,235,0,12,0,12,4,7,0,12,9,14,40,31,17,27,23,18,,63559,860Z200US63559,60481
1452,860Z200US63560,ZCTA5 63560,61,42,61,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63560,860Z200US63560,56607
1453,860Z200US63561,ZCTA5 63561,1043,208,965,197,2,4,0,12,0,12,0,12,0,12,76,58,37,50,39,33,,63561,860Z200US63561,56563
1454,860Z200US63563,ZCTA5 63563,501,173,499,173,0,12,0,12,0,12,0,12,2,4,0,12,0,12,0,12,,63563,860Z200US63563,61250
1455,860Z200US63565,ZCTA5 63565,3965,212,3816,214,9,4,14,16,0,12,0,12,0,12,126,96,69,55,57,71,,63565,860Z200US63565,69643
1456,860Z200US63566,ZCTA5 63566,72,45,67,44,0,12,5,6,0,12,0,12,0,12,0,12,0,12,0,12,,63566,860Z200US63566,97396
1457,860Z200US63567,ZCTA5 63567,70,73,54,53,0,12,0,12,0,12,0,12,0,12,16,26,16,26,0,12,,63567,860Z200US63567,61111
1458,860Z200US63601,ZCTA5 63601,16389,846,15094,1018,62,57,61,62,3,7,8,16,33,35,1128,453,694,400,434,213,,63601,860Z200US63601,54753
1459,860Z200US63620,ZCTA5 63620,1036,215,944,213,8,9,2,3,11,13,0,12,9,14,62,37,30,27,32,25,,63620,860Z200US63620,42426
1460,860Z200US63621,ZCTA5 63621,1632,411,1602,415,2,4,0,12,0,12,0,12,0,12,28,31,26,30,2,3,,63621,860Z200US63621,87825
1461,860Z200US63622,ZCTA5 63622,764,280,764,280,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63622,860Z200US63622,31750
1462,860Z200US63623,ZCTA5 63623,895,161,873,163,0,12,6,10,0,12,0,12,1,8,15,22,10,23,5,6,,63623,860Z200US63623,44844
1463,860Z200US63624,ZCTA5 63624,3447,417,2989,388,2,4,111,126,71,52,0,12,40,33,234,95,90,62,144,61,,63624,860Z200US63624,41984
1464,860Z200US63625,ZCTA5 63625,382,90,333,87,18,21,0,12,0,12,0,12,0,12,31,22,0,12,31,22,,63625,860Z200US63625,-
1465,860Z200US63626,ZCTA5 63626,588,240,560,233,0,12,0,12,0,12,0,12,0,12,28,47,0,12,28,47,,63626,860Z200US63626,82599
1466,860Z200US63627,ZCTA5 63627,2787,448,2682,451,21,26,0,12,0,12,0,12,0,12,84,61,69,59,15,13,,63627,860Z200US63627,88071
1467,860Z200US63628,ZCTA5 63628,16416,1014,14261,1082,790,120,7,12,130,127,0,19,200,230,1028,250,225,129,803,242,,63628,860Z200US63628,63602
1468,860Z200US63629,ZCTA5 63629,947,205,856,198,11,8,0,12,1,2,0,12,2,4,77,52,40,39,37,31,,63629,860Z200US63629,47049
1469,860Z200US63630,ZCTA5 63630,4006,832,3834,843,0,12,0,12,0,12,0,12,52,69,120,59,13,21,107,55,,63630,860Z200US63630,52482
1470,860Z200US63631,ZCTA5 63631,544,156,518,157,0,12,6,10,2,4,0,12,0,12,18,14,14,14,4,5,,63631,860Z200US63631,74211
1471,860Z200US63633,ZCTA5 63633,775,190,732,186,12,19,4,7,0,12,0,12,0,12,27,17,0,12,27,17,,63633,860Z200US63633,52500
1472,860Z200US63636,ZCTA5 63636,446,130,445,129,0,12,0,12,0,12,0,12,0,12,1,2,0,12,1,2,,63636,860Z200US63636,65000
1473,860Z200US63637,ZCTA5 63637,759,269,751,270,0,12,0,12,0,12,0,12,0,12,8,13,0,12,8,13,,63637,860Z200US63637,54926
1474,860Z200US63638,ZCTA5 63638,2489,314,2296,314,42,31,7,7,2,3,0,12,10,16,132,47,20,23,112,39,,63638,860Z200US63638,55257
1475,860Z200US63640,ZCTA5 63640,29263,957,26712,1079,1021,169,38,44,112,85,10,13,293,292,1077,230,326,125,751,203,,63640,860Z200US63640,61913
1476,860Z200US63645,ZCTA5 63645,11554,419,10659,419,35,40,64,81,36,28,0,19,111,87,649,147,326,115,323,93,,63645,860Z200US63645,54747
1477,860Z200US63648,ZCTA5 63648,1858,436,1785,421,0,12,0,12,0,12,0,12,3,5,70,68,58,67,12,14,,63648,860Z200US63648,51765
1478,860Z200US63650,ZCTA5 63650,3600,299,3329,293,36,35,9,11,23,32,9,15,46,33,148,63,81,53,67,32,,63650,860Z200US63650,50183
1479,860Z200US63653,ZCTA5 63653,1186,461,1150,457,0,12,0,12,8,10,0,12,0,12,28,25,15,20,13,17,,63653,860Z200US63653,38021
1480,860Z200US63654,ZCTA5 63654,752,190,668,187,6,10,1,4,0,12,0,12,0,12,77,50,65,49,12,11,,63654,860Z200US63654,36607
1481,860Z200US63655,ZCTA5 63655,1639,346,1544,351,0,12,1,3,0,12,0,12,0,12,94,72,63,64,31,33,,63655,860Z200US63655,61469
1482,860Z200US63656,ZCTA5 63656,576,151,528,138,0,12,3,4,7,9,0,12,0,12,38,29,12,17,26,21,,63656,860Z200US63656,47181
1483,860Z200US63660,ZCTA5 63660,2784,509,2223,521,394,55,0,12,13,20,0,12,1,2,153,86,82,74,71,49,,63660,860Z200US63660,51410
1484,860Z200US63662,ZCTA5 63662,536,257,511,259,4,10,0,12,0,12,0,12,0,12,21,19,0,12,21,19,,63662,860Z200US63662,55074
1485,860Z200US63663,ZCTA5 63663,649,173,568,156,2,17,3,4,5,8,0,12,0,12,71,38,19,24,52,31,,63663,860Z200US63663,44750
1486,860Z200US63664,ZCTA5 63664,9693,913,8923,896,20,13,0,17,16,18,0,17,79,52,655,220,256,183,399,140,,63664,860Z200US63664,61216
1487,860Z200US63665,ZCTA5 63665,313,132,264,121,0,12,0,12,0,12,0,12,49,47,0,12,0,12,0,12,,63665,860Z200US63665,28438
1488,860Z200US63670,ZCTA5 63670,12293,667,11389,650,197,59,17,17,8,13,0,19,70,48,612,139,126,96,486,107,,63670,860Z200US63670,62679
1489,860Z200US63673,ZCTA5 63673,2340,442,2285,426,9,14,0,13,4,6,0,13,0,13,42,43,2,4,40,43,,63673,860Z200US63673,77931
1490,860Z200US63674,ZCTA5 63674,48,46,48,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63674,860Z200US63674,-
1491,860Z200US63675,ZCTA5 63675,24,20,24,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63675,860Z200US63675,16250
1492,860Z200US63701,ZCTA5 63701,39345,1155,31522,1138,4080,600,144,142,1099,214,25,31,341,301,2134,406,561,267,1573,376,,63701,860Z200US63701,66654
1493,860Z200US63703,ZCTA5 63703,8201,752,5782,646,1494,355,5,11,44,41,63,56,99,85,714,402,404,333,310,212,,63703,860Z200US63703,38695
1494,860Z200US63730,ZCTA5 63730,3397,361,3258,363,18,38,0,12,0,12,0,12,0,12,121,83,8,12,113,83,,63730,860Z200US63730,70707
1495,860Z200US63732,ZCTA5 63732,863,259,791,250,23,41,1,2,0,12,0,12,0,12,48,47,8,17,40,44,,63732,860Z200US63732,76250
1496,860Z200US63735,ZCTA5 63735,697,147,591,137,0,12,0,12,0,12,0,12,2,4,104,94,28,35,76,84,,63735,860Z200US63735,28214
1497,860Z200US63736,ZCTA5 63736,3755,430,3267,387,166,77,2,4,3,6,0,12,0,12,317,207,218,207,99,69,,63736,860Z200US63736,59414
1498,860Z200US63738,ZCTA5 63738,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63738,860Z200US63738,-
1499,860Z200US63739,ZCTA5 63739,508,328,451,316,8,14,0,12,20,30,0,12,0,12,29,52,0,12,29,52,,63739,860Z200US63739,62500
1500,860Z200US63740,ZCTA5 63740,5165,479,4782,455,7,12,0,17,0,17,0,17,58,97,318,153,115,121,203,114,,63740,860Z200US63740,54364
1501,860Z200US63742,ZCTA5 63742,64,45,64,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63742,860Z200US63742,-
1502,860Z200US63743,ZCTA5 63743,64,52,45,30,0,12,0,12,0,12,0,12,0,12,19,32,0,12,19,32,,63743,860Z200US63743,122750
1503,860Z200US63744,ZCTA5 63744,198,80,197,80,0,12,0,12,0,12,0,12,0,12,1,2,0,12,1,2,,63744,860Z200US63744,36250
1504,860Z200US63745,ZCTA5 63745,136,157,136,157,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63745,860Z200US63745,-
1505,860Z200US63746,ZCTA5 63746,11,14,11,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63746,860Z200US63746,-
1506,860Z200US63747,ZCTA5 63747,972,401,858,358,0,12,0,12,0,12,0,12,0,12,114,132,22,34,92,125,,63747,860Z200US63747,106425
1507,860Z200US63748,ZCTA5 63748,1174,251,1113,229,3,5,0,12,0,12,0,12,0,12,58,79,0,12,58,79,,63748,860Z200US63748,59478
1508,860Z200US63750,ZCTA5 63750,318,199,314,199,2,5,0,12,0,12,0,12,0,12,2,4,2,4,0,12,,63750,860Z200US63750,120773
1509,860Z200US63751,ZCTA5 63751,946,363,937,359,0,12,0,12,2,4,0,12,0,12,7,11,0,12,7,11,,63751,860Z200US63751,34318
1510,860Z200US63755,ZCTA5 63755,27629,988,25475,1031,527,231,106,152,198,126,0,23,161,158,1162,305,371,217,791,248,,63755,860Z200US63755,78750
1511,860Z200US63758,ZCTA5 63758,435,118,427,116,0,12,0,12,0,12,0,12,0,12,8,9,4,6,4,6,,63758,860Z200US63758,56250
1512,860Z200US63760,ZCTA5 63760,604,204,598,202,0,12,0,12,0,12,0,12,0,12,6,11,6,11,0,12,,63760,860Z200US63760,80268
1513,860Z200US63763,ZCTA5 63763,98,77,98,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63763,860Z200US63763,-
1514,860Z200US63764,ZCTA5 63764,4760,517,4327,534,83,68,3,6,3,5,0,12,60,70,284,142,65,94,219,110,,63764,860Z200US63764,49917
1515,860Z200US63766,ZCTA5 63766,1715,450,1650,458,0,12,0,12,0,12,0,12,20,34,45,47,13,22,32,41,,63766,860Z200US63766,58828
1516,860Z200US63767,ZCTA5 63767,526,142,411,112,31,27,4,5,0,12,0,12,0,12,80,68,7,12,73,65,,63767,860Z200US63767,46765
1517,860Z200US63769,ZCTA5 63769,1358,440,1310,434,0,12,0,12,0,12,0,12,0,12,48,58,0,12,48,58,,63769,860Z200US63769,91146
1518,860Z200US63770,ZCTA5 63770,203,110,189,110,0,12,0,12,0,12,0,12,0,12,14,22,0,12,14,22,,63770,860Z200US63770,-
1519,860Z200US63771,ZCTA5 63771,2365,280,1950,288,140,87,2,3,21,38,0,12,0,12,252,118,61,46,191,112,,63771,860Z200US63771,70603
1520,860Z200US63774,ZCTA5 63774,106,104,106,104,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63774,860Z200US63774,48558
1521,860Z200US63775,ZCTA5 63775,16325,406,15311,445,105,79,12,15,156,88,0,19,131,86,610,186,305,164,305,113,,63775,860Z200US63775,63712
1522,860Z200US63780,ZCTA5 63780,6243,485,5708,535,9,6,0,17,5,7,0,17,15,22,506,254,115,91,391,236,,63780,860Z200US63780,72171
1523,860Z200US63781,ZCTA5 63781,1398,383,1364,382,0,12,0,12,0,12,0,12,0,12,34,45,30,45,4,7,,63781,860Z200US63781,72561
1524,860Z200US63782,ZCTA5 63782,172,103,172,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63782,860Z200US63782,78068
1525,860Z200US63783,ZCTA5 63783,60,65,60,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63783,860Z200US63783,-
1526,860Z200US63784,ZCTA5 63784,253,118,212,110,3,6,0,12,0,12,0,12,4,7,34,31,30,30,4,7,,63784,860Z200US63784,48333
1527,860Z200US63785,ZCTA5 63785,1282,478,1281,478,0,12,0,12,0,12,0,12,0,12,1,2,1,2,0,12,,63785,860Z200US63785,75938
1528,860Z200US63787,ZCTA5 63787,551,182,529,174,0,12,0,12,0,12,0,12,0,12,22,24,0,12,22,24,,63787,860Z200US63787,46000
1529,860Z200US63801,ZCTA5 63801,22027,638,16411,635,3590,338,0,23,27,24,45,4,21,27,1933,395,704,254,1229,317,,63801,860Z200US63801,62698
1530,860Z200US63820,ZCTA5 63820,249,118,242,117,0,12,0,12,0,12,0,12,0,12,7,14,7,14,0,12,,63820,860Z200US63820,-
1531,860Z200US63821,ZCTA5 63821,616,102,421,88,0,12,0,12,0,12,0,12,31,39,164,82,130,84,34,24,,63821,860Z200US63821,40238
1532,860Z200US63822,ZCTA5 63822,2724,386,2478,351,17,22,9,14,8,13,0,12,37,53,175,110,97,99,78,46,,63822,860Z200US63822,57639
1533,860Z200US63823,ZCTA5 63823,1434,420,1160,329,69,74,0,12,0,12,0,12,2,5,203,149,102,105,101,95,,63823,860Z200US63823,62656
1534,860Z200US63824,ZCTA5 63824,185,84,119,57,5,8,0,12,1,4,0,12,0,12,60,53,0,12,60,53,,63824,860Z200US63824,38333
1535,860Z200US63825,ZCTA5 63825,4224,302,4092,302,16,12,0,12,0,12,0,12,0,12,116,75,23,27,93,67,,63825,860Z200US63825,52414
1536,860Z200US63826,ZCTA5 63826,164,130,46,38,10,15,0,12,0,12,0,12,0,12,108,114,95,111,13,20,,63826,860Z200US63826,-
1537,860Z200US63827,ZCTA5 63827,431,205,260,73,143,174,0,12,0,12,0,12,0,12,28,40,5,10,23,39,,63827,860Z200US63827,65313
1538,860Z200US63828,ZCTA5 63828,177,79,120,53,0,12,0,12,0,12,0,12,0,12,57,52,37,47,20,21,,63828,860Z200US63828,46875
1539,860Z200US63829,ZCTA5 63829,1070,242,819,210,8,13,17,18,0,12,0,12,0,12,226,124,121,93,105,77,,63829,860Z200US63829,28281
1540,860Z200US63830,ZCTA5 63830,6118,158,4227,335,1450,355,22,19,19,30,0,17,70,82,330,167,170,110,160,119,,63830,860Z200US63830,36979
1541,860Z200US63833,ZCTA5 63833,137,56,134,57,2,4,0,12,0,12,0,12,0,12,1,2,1,2,0,12,,63833,860Z200US63833,60682
1542,860Z200US63834,ZCTA5 63834,5169,180,2585,256,2062,301,2,5,62,74,0,17,0,17,458,239,51,44,407,234,,63834,860Z200US63834,41348
1543,860Z200US63837,ZCTA5 63837,1381,276,1016,239,50,56,6,6,0,12,0,12,10,12,299,135,131,112,168,74,,63837,860Z200US63837,46066
1544,860Z200US63839,ZCTA5 63839,290,83,269,82,0,12,0,12,0,12,0,12,0,12,21,18,14,15,7,11,,63839,860Z200US63839,42250
1545,860Z200US63840,ZCTA5 63840,74,64,65,63,0,12,0,12,0,12,0,12,0,12,9,12,0,12,9,12,,63840,860Z200US63840,65227
1546,860Z200US63841,ZCTA5 63841,13191,459,12288,520,51,54,127,113,26,38,41,51,48,51,610,308,397,292,213,110,,63841,860Z200US63841,58607
1547,860Z200US63845,ZCTA5 63845,5261,254,4720,285,58,65,2,4,14,23,0,17,0,17,467,272,109,84,358,246,,63845,860Z200US63845,51207
1548,860Z200US63846,ZCTA5 63846,1239,185,1064,180,124,89,1,2,0,12,0,12,10,16,40,39,36,38,4,4,,63846,860Z200US63846,50813
1549,860Z200US63847,ZCTA5 63847,91,98,48,75,0,12,0,12,0,12,0,12,0,12,43,62,0,12,43,62,,63847,860Z200US63847,-
1550,860Z200US63848,ZCTA5 63848,887,132,763,133,13,20,0,12,0,12,0,12,1,2,110,54,36,26,74,52,,63848,860Z200US63848,43083
1551,860Z200US63849,ZCTA5 63849,176,116,59,42,117,119,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63849,860Z200US63849,90685
1552,860Z200US63850,ZCTA5 63850,8,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,,63850,860Z200US63850,-
1553,860Z200US63851,ZCTA5 63851,3684,415,1607,320,1718,368,4,9,7,13,0,12,0,12,348,177,111,96,237,169,,63851,860Z200US63851,28705
1554,860Z200US63852,ZCTA5 63852,1172,244,936,193,40,61,4,7,8,15,0,12,8,8,176,122,110,104,66,64,,63852,860Z200US63852,46971
1555,860Z200US63853,ZCTA5 63853,141,65,110,54,18,31,0,12,0,12,0,12,0,12,13,16,13,16,0,12,,63853,860Z200US63853,37375
1556,860Z200US63855,ZCTA5 63855,854,161,827,163,0,12,0,12,0,12,0,12,0,12,27,17,9,13,18,14,,63855,860Z200US63855,50278
1557,860Z200US63857,ZCTA5 63857,11930,155,9306,343,1194,237,0,19,83,111,0,19,5,12,1342,397,574,271,768,265,,63857,860Z200US63857,55188
1558,860Z200US63860,ZCTA5 63860,172,138,172,138,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63860,860Z200US63860,40817
1559,860Z200US63862,ZCTA5 63862,1237,245,846,221,289,138,0,12,0,12,0,12,9,14,93,58,45,43,48,33,,63862,860Z200US63862,43940
1560,860Z200US63863,ZCTA5 63863,5321,217,3856,267,496,125,0,17,0,17,0,17,153,134,816,284,246,207,570,198,,63863,860Z200US63863,47205
1561,860Z200US63866,ZCTA5 63866,409,158,237,131,104,74,0,12,0,12,0,12,0,12,68,57,29,28,39,50,,63866,860Z200US63866,33750
1562,860Z200US63867,ZCTA5 63867,764,215,706,214,12,24,1,5,0,12,0,12,0,12,45,37,16,26,29,23,,63867,860Z200US63867,47143
1563,860Z200US63868,ZCTA5 63868,653,187,541,183,1,3,8,13,0,12,0,12,0,12,103,59,62,48,41,28,,63868,860Z200US63868,32254
1564,860Z200US63869,ZCTA5 63869,3218,194,2405,251,650,161,0,12,25,28,0,12,14,21,124,81,50,52,74,56,,63869,860Z200US63869,57959
1565,860Z200US63870,ZCTA5 63870,1066,279,743,237,166,92,0,12,0,12,0,12,12,16,145,103,81,91,64,47,,63870,860Z200US63870,57639
1566,860Z200US63873,ZCTA5 63873,4015,220,3059,282,381,105,5,7,0,12,0,12,25,23,545,210,201,161,344,149,,63873,860Z200US63873,54362
1567,860Z200US63874,ZCTA5 63874,288,86,248,80,0,12,0,12,0,12,0,12,0,12,40,22,10,12,30,18,,63874,860Z200US63874,48000
1568,860Z200US63876,ZCTA5 63876,2071,229,1431,209,27,14,1,3,5,11,0,12,106,80,501,181,397,177,104,52,,63876,860Z200US63876,34837
1569,860Z200US63877,ZCTA5 63877,2816,395,2328,325,110,96,17,29,0,12,0,12,1,2,360,164,152,116,208,125,,63877,860Z200US63877,51923
1570,860Z200US63878,ZCTA5 63878,92,87,92,87,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63878,860Z200US63878,-
1571,860Z200US63879,ZCTA5 63879,694,159,571,147,73,42,0,12,0,12,0,12,0,12,50,37,38,33,12,17,,63879,860Z200US63879,41083
1572,860Z200US63880,ZCTA5 63880,97,94,34,48,63,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63880,860Z200US63880,-
1573,860Z200US63882,ZCTA5 63882,322,119,171,88,70,49,0,12,0,12,0,12,0,12,81,56,0,12,81,56,,63882,860Z200US63882,30227
1574,860Z200US63901,ZCTA5 63901,35324,650,30171,749,1847,299,76,59,161,119,0,26,420,364,2649,368,832,252,1817,291,,63901,860Z200US63901,51152
1575,860Z200US63932,ZCTA5 63932,848,283,752,252,24,38,0,12,24,40,2,4,0,12,46,53,10,16,36,51,,63932,860Z200US63932,47212
1576,860Z200US63933,ZCTA5 63933,3049,227,2423,308,77,88,0,12,0,12,0,12,4,7,545,216,342,188,203,101,,63933,860Z200US63933,55582
1577,860Z200US63934,ZCTA5 63934,31,32,31,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63934,860Z200US63934,-
1578,860Z200US63935,ZCTA5 63935,7931,470,7318,476,25,21,10,10,8,9,0,17,24,22,546,129,252,111,294,62,,63935,860Z200US63935,42985
1579,860Z200US63936,ZCTA5 63936,494,215,486,214,4,5,0,12,0,12,0,12,0,12,4,7,0,12,4,7,,63936,860Z200US63936,51466
1580,860Z200US63937,ZCTA5 63937,2643,367,2466,361,20,29,0,12,0,12,0,12,4,6,153,47,115,30,38,36,,63937,860Z200US63937,61614
1581,860Z200US63939,ZCTA5 63939,963,353,931,344,0,12,0,12,22,28,0,12,0,12,10,16,0,12,10,16,,63939,860Z200US63939,44125
1582,860Z200US63940,ZCTA5 63940,1326,383,1271,377,0,12,0,12,0,12,0,12,0,12,55,47,0,12,55,47,,63940,860Z200US63940,53378
1583,860Z200US63941,ZCTA5 63941,221,155,109,93,0,12,0,12,0,12,0,12,0,12,112,72,9,14,103,72,,63941,860Z200US63941,29352
1584,860Z200US63942,ZCTA5 63942,490,143,487,142,0,12,0,12,0,12,0,12,0,12,3,8,0,12,3,8,,63942,860Z200US63942,47250
1585,860Z200US63943,ZCTA5 63943,823,264,779,255,0,12,0,12,0,12,0,12,0,12,44,36,16,23,28,35,,63943,860Z200US63943,40152
1586,860Z200US63944,ZCTA5 63944,1332,412,1302,410,7,11,0,12,0,12,0,12,0,12,23,18,8,12,15,13,,63944,860Z200US63944,58047
1587,860Z200US63945,ZCTA5 63945,928,373,901,352,0,12,0,12,0,12,0,12,0,12,27,39,0,12,27,39,,63945,860Z200US63945,44174
1588,860Z200US63950,ZCTA5 63950,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63950,860Z200US63950,-
1589,860Z200US63951,ZCTA5 63951,200,109,165,93,0,12,0,12,0,12,0,12,0,12,35,30,30,31,5,10,,63951,860Z200US63951,26639
1590,860Z200US63952,ZCTA5 63952,284,108,251,106,0,12,0,12,0,12,0,12,0,12,33,30,1,3,32,30,,63952,860Z200US63952,41513
1591,860Z200US63953,ZCTA5 63953,787,203,671,191,9,11,2,6,0,12,0,12,25,41,80,46,8,13,72,44,,63953,860Z200US63953,32895
1592,860Z200US63954,ZCTA5 63954,954,268,789,292,74,61,2,3,0,12,0,12,0,12,89,100,4,11,85,100,,63954,860Z200US63954,39853
1593,860Z200US63955,ZCTA5 63955,64,36,64,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63955,860Z200US63955,48056
1594,860Z200US63956,ZCTA5 63956,770,297,750,290,7,6,0,12,0,12,0,12,0,12,13,17,0,12,13,17,,63956,860Z200US63956,61146
1595,860Z200US63957,ZCTA5 63957,5144,543,4921,548,16,26,0,17,30,46,0,17,10,17,167,70,33,30,134,65,,63957,860Z200US63957,43582
1596,860Z200US63960,ZCTA5 63960,3204,324,3024,321,86,71,0,12,0,12,0,12,0,12,94,65,49,51,45,38,,63960,860Z200US63960,57875
1597,860Z200US63961,ZCTA5 63961,1600,443,1547,439,31,37,0,12,0,12,0,12,0,12,22,24,9,15,13,16,,63961,860Z200US63961,39167
1598,860Z200US63962,ZCTA5 63962,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,63962,860Z200US63962,-
1599,860Z200US63964,ZCTA5 63964,733,321,715,303,0,12,0,12,0,12,0,12,18,31,0,12,0,12,0,12,,63964,860Z200US63964,41500
1600,860Z200US63965,ZCTA5 63965,2607,316,2507,310,2,8,0,12,2,3,0,12,0,12,96,38,15,18,81,37,,63965,860Z200US63965,37697
1601,860Z200US63966,ZCTA5 63966,2110,499,1815,394,16,23,0,12,0,12,0,12,36,54,243,179,94,120,149,131,,63966,860Z200US63966,59871
1602,860Z200US63967,ZCTA5 63967,1313,321,1197,322,2,1,0,12,0,12,0,12,52,44,62,46,19,24,43,40,,63967,860Z200US63967,42048
1603,860Z200US64001,ZCTA5 64001,842,246,686,176,30,37,1,3,96,91,0,12,0,12,29,22,12,9,17,20,,64001,860Z200US64001,68000
1604,860Z200US64011,ZCTA5 64011,3876,758,3726,744,4,7,4,7,2,3,0,12,0,12,140,99,0,12,140,99,,64011,860Z200US64011,82981
1605,860Z200US64012,ZCTA5 64012,29304,468,23053,756,2136,432,94,65,341,142,52,52,1139,418,2489,478,1043,324,1446,322,,64012,860Z200US64012,71814
